ArrowButton.size 	 13 
ArrowButtonUI 	 javax.swing.plaf.synth.SynthLookAndFeel 
AuditoryCues.allAuditoryCues 	 [Ljava.lang.Object;@23a5fd2 
AuditoryCues.cueList 	 [Ljava.lang.Object;@23a5fd2 
AuditoryCues.noAuditoryCues 	 [Ljava.lang.Object;@64c87930 
Button.background 	 javax.swing.plaf.ColorUIResource[r=53,g=53,b=53] 
Button.border 	 javax.swing.plaf.basic.BasicLookAndFeel$$Lambda$31/0x0000000800103c40@4c6e276e 
Button.darkShadow 	 javax.swing.plaf.ColorUIResource[r=0,g=0,b=0] 
Button.defaultButtonFollowsFocus 	 false 
Button.focusInputMap 	 javax.swing.UIDefaults$LazyInputMap@8b96fde 
Button.font 	 com.sun.java.swing.plaf.gtk.GTKLookAndFeel$1FontLazyValue@49070868 
Button.foreground 	 javax.swing.plaf.ColorUIResource[r=238,g=238,b=236] 
Button.highlight 	 javax.swing.plaf.ColorUIResource[r=0,g=0,b=0] 
Button.light 	 javax.swing.plaf.ColorUIResource[r=53,g=53,b=53] 
Button.margin 	 javax.swing.plaf.InsetsUIResource[top=0,left=0,bottom=0,right=0] 
Button.shadow 	 javax.swing.plaf.ColorUIResource[r=0,g=0,b=0] 
Button.textIconGap 	 4 
Button.textShiftOffset 	 0 
ButtonUI 	 javax.swing.plaf.synth.SynthLookAndFeel 
CheckBox.background 	 javax.swing.plaf.ColorUIResource[r=53,g=53,b=53] 
CheckBox.border 	 javax.swing.plaf.basic.BasicLookAndFeel$$Lambda$33/0x0000000800104440@797badd3 
CheckBox.focusInputMap 	 javax.swing.UIDefaults$LazyInputMap@400cff1a 
CheckBox.font 	 com.sun.java.swing.plaf.gtk.GTKLookAndFeel$1FontLazyValue@36f0f1be 
CheckBox.foreground 	 javax.swing.plaf.ColorUIResource[r=238,g=238,b=236] 
CheckBox.icon 	 com.sun.java.swing.plaf.gtk.GTKStyle$GTKLazyValue@589b3632 
CheckBox.margin 	 javax.swing.plaf.InsetsUIResource[top=0,left=0,bottom=0,right=0] 
CheckBox.textIconGap 	 4 
CheckBox.textShiftOffset 	 0 
CheckBoxMenuItem.acceleratorFont 	 javax.swing.plaf.basic.BasicLookAndFeel$$Lambda$19/0x0000000800100c40@5d20e46 
CheckBoxMenuItem.acceleratorForeground 	 javax.swing.plaf.ColorUIResource[r=238,g=238,b=236] 
CheckBoxMenuItem.acceleratorSelectionForeground 	 javax.swing.plaf.ColorUIResource[r=255,g=255,b=255] 
CheckBoxMenuItem.alignAcceleratorText 	 false 
CheckBoxMenuItem.background 	 javax.swing.plaf.ColorUIResource[r=53,g=53,b=53] 
CheckBoxMenuItem.border 	 javax.swing.plaf.basic.BasicLookAndFeel$$Lambda$24/0x0000000800102040@7bc1a03d 
CheckBoxMenuItem.borderPainted 	 false 
CheckBoxMenuItem.checkIcon 	 com.sun.java.swing.plaf.gtk.GTKStyle$GTKLazyValue@516be40f 
CheckBoxMenuItem.font 	 com.sun.java.swing.plaf.gtk.GTKLookAndFeel$1FontLazyValue@15bb6bea 
CheckBoxMenuItem.foreground 	 javax.swing.plaf.ColorUIResource[r=238,g=238,b=236] 
CheckBoxMenuItem.margin 	 javax.swing.plaf.InsetsUIResource[top=0,left=0,bottom=0,right=0] 
CheckBoxMenuItem.selectionBackground 	 javax.swing.plaf.ColorUIResource[r=21,g=83,b=158] 
CheckBoxMenuItem.selectionForeground 	 javax.swing.plaf.ColorUIResource[r=255,g=255,b=255] 
CheckBoxMenuItemUI 	 javax.swing.plaf.synth.SynthLookAndFeel 
CheckBoxUI 	 javax.swing.plaf.synth.SynthLookAndFeel 
ColorChooser.background 	 javax.swing.plaf.ColorUIResource[r=53,g=53,b=53] 
ColorChooser.font 	 com.sun.java.swing.plaf.gtk.GTKLookAndFeel$1FontLazyValue@157632c9 
ColorChooser.foreground 	 javax.swing.plaf.ColorUIResource[r=238,g=238,b=236] 
ColorChooser.panels 	 com.sun.java.swing.plaf.gtk.GTKLookAndFeel$1@667a738 
ColorChooser.showPreviewPanelText 	 false 
ColorChooser.swatchesDefaultRecentColor 	 javax.swing.plaf.ColorUIResource[r=53,g=53,b=53] 
ColorChooser.swatchesRecentSwatchSize 	 java.awt.Dimension[width=10,height=10] 
ColorChooser.swatchesSwatchSize 	 java.awt.Dimension[width=10,height=10] 
ColorChooserUI 	 de.freese.base.swing.ui.ColorChooserUI 
ComboBox.ancestorInputMap 	 javax.swing.UIDefaults$LazyInputMap@145eaa29 
ComboBox.background 	 javax.swing.plaf.ColorUIResource[r=53,g=53,b=53] 
ComboBox.buttonBackground 	 javax.swing.plaf.ColorUIResource[r=53,g=53,b=53] 
ComboBox.buttonDarkShadow 	 javax.swing.plaf.ColorUIResource[r=0,g=0,b=0] 
ComboBox.buttonHighlight 	 javax.swing.plaf.ColorUIResource[r=0,g=0,b=0] 
ComboBox.buttonShadow 	 javax.swing.plaf.ColorUIResource[r=0,g=0,b=0] 
ComboBox.disabledBackground 	 javax.swing.plaf.ColorUIResource[r=53,g=53,b=53] 
ComboBox.disabledForeground 	 javax.swing.plaf.ColorUIResource[r=255,g=255,b=255] 
ComboBox.font 	 com.sun.java.swing.plaf.gtk.GTKLookAndFeel$1FontLazyValue@971d0d8 
ComboBox.foreground 	 javax.swing.plaf.ColorUIResource[r=255,g=255,b=255] 
ComboBox.isEnterSelectablePopup 	 true 
ComboBox.noActionOnKeyNavigation 	 false 
ComboBox.selectionBackground 	 javax.swing.plaf.ColorUIResource[r=21,g=83,b=158] 
ComboBox.selectionForeground 	 javax.swing.plaf.ColorUIResource[r=255,g=255,b=255] 
ComboBox.timeFactor 	 1000 
ComboBoxUI 	 javax.swing.plaf.synth.SynthLookAndFeel 
Desktop.ancestorInputMap 	 javax.swing.UIDefaults$LazyInputMap@4de5031f 
Desktop.background 	 javax.swing.plaf.ColorUIResource[r=53,g=53,b=53] 
Desktop.minOnScreenInsets 	 javax.swing.plaf.InsetsUIResource[top=3,left=3,bottom=3,right=3] 
DesktopIcon.border 	 javax.swing.plaf.basic.BasicLookAndFeel$$Lambda$34/0x0000000800104840@70b0b186 
DesktopIconUI 	 javax.swing.plaf.synth.SynthLookAndFeel 
DesktopPaneUI 	 javax.swing.plaf.synth.SynthLookAndFeel 
EditorPane.background 	 javax.swing.plaf.ColorUIResource[r=255,g=255,b=255] 
EditorPane.border 	 javax.swing.plaf.basic.BasicLookAndFeel$$Lambda$24/0x0000000800102040@7bc1a03d 
EditorPane.caretAspectRatio 	 0.025 
EditorPane.caretBlinkRate 	 1200 
EditorPane.caretForeground 	 javax.swing.plaf.ColorUIResource[r=0,g=0,b=0] 
EditorPane.focusInputMap 	 javax.swing.UIDefaults$LazyInputMap@ba8d91c 
EditorPane.font 	 com.sun.java.swing.plaf.gtk.GTKLookAndFeel$1FontLazyValue@5d47c63f 
EditorPane.foreground 	 javax.swing.plaf.ColorUIResource[r=255,g=255,b=255] 
EditorPane.inactiveForeground 	 javax.swing.plaf.ColorUIResource[r=255,g=255,b=255] 
EditorPane.margin 	 javax.swing.plaf.InsetsUIResource[top=3,left=3,bottom=3,right=3] 
EditorPane.selectionBackground 	 javax.swing.plaf.ColorUIResource[r=21,g=83,b=158] 
EditorPane.selectionForeground 	 javax.swing.plaf.ColorUIResource[r=255,g=255,b=255] 
EditorPaneUI 	 javax.swing.plaf.synth.SynthLookAndFeel 
FileChooser.ancestorInputMap 	 javax.swing.UIDefaults$LazyInputMap@57d5872c 
FileChooser.detailsViewIcon 	 sun.swing.SwingUtilities2$$Lambda$18/0x00000008000c8c40@b7f23d9 
FileChooser.homeFolderIcon 	 sun.swing.SwingUtilities2$$Lambda$18/0x00000008000c8c40@5a4aa2f2 
FileChooser.listViewIcon 	 sun.swing.SwingUtilities2$$Lambda$18/0x00000008000c8c40@3b2c72c2 
FileChooser.newFolderIcon 	 sun.swing.SwingUtilities2$$Lambda$18/0x00000008000c8c40@29f69090 
FileChooser.readOnly 	 false 
FileChooser.upFolderIcon 	 sun.swing.SwingUtilities2$$Lambda$18/0x00000008000c8c40@2d2e5f00 
FileChooser.useSystemExtensionHiding 	 false 
FileChooser.usesSingleFilePane 	 false 
FileChooserUI 	 com.sun.java.swing.plaf.gtk.GTKLookAndFeel 
FileView.computerIcon 	 sun.swing.SwingUtilities2$$Lambda$18/0x00000008000c8c40@6b1274d2 
